"Código IBGE","Estado","Município","URL","População estimada","População no último censo","Densidade demográfica","Salário médio mensal dos trabalhadores formais","Pessoal ocupado","População ocupada","Percentual da população com rendimento nominal mensal per capita de até 1/2 salário mínimo","Taxa de escolarização de 6 a 14 anos de idade","IDEB – Anos iniciais do ensino fundamental (Rede pública)","IDEB – Anos finais do ensino fundamental (Rede pública)","Matrículas no ensino fundamental","Matrículas no ensino médio","Docentes no ensino fundamental","Docentes no ensino médio","Número de estabelecimentos de ensino fundamental","Número de estabelecimentos de ensino médio","PIB per capita","Percentual das receitas oriundas de fontes externas","Índice de Desenvolvimento Humano Municipal (IDHM)","Total de receitas realizadas","Total de despesas empenhadas","Mortalidade Infantil","Internações por diarreia","Estabelecimentos de Saúde SUS","Área da unidade territorial","Esgotamento sanitário adequado","Arborização de vias públicas","Urbanização de vias públicas","Bioma","Sistema Costeiro-Marinho","Hierarquia urbana","Região de Influência","Região intermediária","Região imediata","Mesorregião","Microrregião"
"4316204","RS","Rondinha","https://cidades.ibge.gov.br/brasil/rs/rondinha/panorama","5.033 pessoas","5.518 pessoas","21,88 hab/km²","2,3 salários mínimos","775 pessoas","15,1 %","29,3 %","99,1 %","6,5","5,6","479 matrículas","158 matrículas","43 docentes","29 docentes","3 escolas","1 escolas","36.694,90 R$","82,1 %","0,764","24.925,57 R$ (×1000)","19.522,66 R$ (×1000)","- óbitos por mil nascidos vivos","1,6 internações por mil habitantes","2 estabelecimentos","252,454 km²","34,8 %","82,2 %","52,3 %","Mata Atlântica;Pampa","Não pertence","Centro Local (5)","Sarandi - Centro Subregional B (3B)","Passo Fundo","Carazinho","Noroeste Rio-grandense","Frederico Westphalen"
"4321709","RS","Três Coroas","https://cidades.ibge.gov.br/brasil/rs/tres-coroas/panorama","28.948 pessoas","23.848 pessoas","128,53 hab/km²","1,9 salários mínimos","9.464 pessoas","33,5 %","17,7 %","98,9 %","6,5","5,6","3.001 matrículas","633 matrículas","159 docentes","29 docentes","10 escolas","1 escolas","33.865,84 R$","73,5 %","0,710","78.753,17 R$ (×1000)","65.554,09 R$ (×1000)","12,82 óbitos por mil nascidos vivos","2,1 internações por mil habitantes","9 estabelecimentos","165,285 km²","89,1 %","90,8 %","21,5 %","Mata Atlântica","Não pertence","Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Taquara - Parobé - Igrejinha/RS","Arranjo Populacional de Porto Alegre/RS - Metrópole (1C)","Porto Alegre","Taquara - Parobé - Igrejinha","Metropolitana de Porto Alegre","Gramado-Canela"
"4312203","RS","Maximiliano de Almeida","https://cidades.ibge.gov.br/brasil/rs/maximiliano-de-almeida/panorama","4.254 pessoas","4.911 pessoas","23,56 hab/km²","1,9 salários mínimos","793 pessoas","18,1 %","34,7 %","99,1 %","6,3","4,5","436 matrículas","128 matrículas","40 docentes","17 docentes","4 escolas","1 escolas","26.275,72 R$","91,9 %","0,699","18.408,71 R$ (×1000)","16.021,01 R$ (×1000)","- óbitos por mil nascidos vivos","11,6 internações por mil habitantes","3 estabelecimentos","208,439 km²","42,3 %","24,4 %","4,4 %","Mata Atlântica","Não pertence","Centro Local (5)","Erechim - Centro Subregional A (3A)","Passo Fundo","Tapejara - Sananduva","Noroeste Rio-grandense","Sananduva"
"4311007","RS","Jaguarão","https://cidades.ibge.gov.br/brasil/rs/jaguarao/panorama","26.327 pessoas","27.931 pessoas","13,60 hab/km²","2,1 salários mínimos","4.523 pessoas","17,0 %","32,8 %","97,1 %","5,5","3,9","3.199 matrículas","808 matrículas","205 docentes","80 docentes","21 escolas","6 escolas","24.959,82 R$","76 %","0,707","87.238,16 R$ (×1000)","72.245,38 R$ (×1000)","13,07 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","10 estabelecimentos","2.051,845 km²","61,9 %","72,4 %","22,7 %","Pampa","Pertence","Centro Local (5)","Arranjo Populacional de Pelotas/RS - Capital Regional C (2C)","Pelotas","Pelotas","Sudeste Rio-grandense","Jaguarão"
"4314407","RS","Pelotas","https://cidades.ibge.gov.br/brasil/rs/pelotas/panorama","343.826 pessoas","328.275 pessoas","203,89 hab/km²","2,9 salários mínimos","83.914 pessoas","24,5 %","31,9 %","96,9 %","5,2","4,4","37.984 matrículas","10.516 matrículas","2.435 docentes","1.013 docentes","129 escolas","36 escolas","25.884,35 R$","61,4 %","0,739","971.193,15 R$ (×1000)","906.719,10 R$ (×1000)","14,05 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","97 estabelecimentos","1.609,708 km²","82,4 %","84,6 %","34,4 %","Pampa","Pertence","Capital Regional C (2C) - Município integrante do Arranjo Populacional de Pelotas/RS","Arranjo Populacional de Porto Alegre/RS - Metrópole (1C)","Pelotas","Pelotas","Sudeste Rio-grandense","Pelotas"
"4311106","RS","Jaguari","https://cidades.ibge.gov.br/brasil/rs/jaguari/panorama","10.684 pessoas","11.473 pessoas","17,04 hab/km²","2,2 salários mínimos","1.701 pessoas","15,7 %","32,7 %","97 %","5,8","4,9","957 matrículas","398 matrículas","92 docentes","70 docentes","7 escolas","3 escolas","23.282,63 R$","78,4 %","0,712","38.963,78 R$ (×1000)","34.087,81 R$ (×1000)","14,08 óbitos por mil nascidos vivos","2,3 internações por mil habitantes","6 estabelecimentos","675,314 km²","33,8 %","90,1 %","18,2 %","Mata Atlântica;Pampa","Não pertence","Centro Local (5)","Arranjo Populacional de Santa Maria/RS - Capital Regional C (2C)","Santa Maria","Santa Maria","Centro Ocidental Rio-grandense","Santa Maria"
"4310330","RS","Imbé","https://cidades.ibge.gov.br/brasil/rs/imbe/panorama","23.721 pessoas","17.670 pessoas","448,53 hab/km²","2,1 salários mínimos","4.553 pessoas","20,0 %","29,4 %","96,8 %","5,6","4,4","3.292 matrículas","665 matrículas","165 docentes","39 docentes","8 escolas","2 escolas","20.405,20 R$","58,6 %","0,764","93.697,31 R$ (×1000)","86.666,62 R$ (×1000)","- óbitos por mil nascidos vivos","0,1 internações por mil habitantes","6 estabelecimentos","39,766 km²","81,1 %","66,1 %","1,2 %","Pampa","Pertence","Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Tramandaí - Osório/RS","Arranjo Populacional de Porto Alegre/RS - Metrópole (1C)","Porto Alegre","Tramandaí - Osório","Metropolitana de Porto Alegre","Osório"
"4310900","RS","Jacutinga","https://cidades.ibge.gov.br/brasil/rs/jacutinga/panorama","3.532 pessoas","3.633 pessoas","20,26 hab/km²","2,2 salários mínimos","818 pessoas","23,0 %","28,4 %","97,4 %","7,2","5,6","317 matrículas","59 matrículas","31 docentes","10 docentes","3 escolas","1 escolas","37.600,75 R$","83,5 %","0,726","20.329,55 R$ (×1000)","15.444,50 R$ (×1000)","24,39 óbitos por mil nascidos vivos","0,8 internações por mil habitantes","3 estabelecimentos","178,009 km²","68,6 %","87,2 %","36,2 %","Mata Atlântica;Pampa","Não pertence","Centro Local (5)","Erechim - Centro Subregional A (3A)","Passo Fundo","Erechim","Noroeste Rio-grandense","Erechim"
"4309902","RS","Ibiraiaras","https://cidades.ibge.gov.br/brasil/rs/ibiraiaras/panorama","7.267 pessoas","7.171 pessoas","23,85 hab/km²","2,3 salários mínimos","1.447 pessoas","19,9 %","29,1 %","97,5 %","6,1","4,9","647 matrículas","160 matrículas","56 docentes","16 docentes","5 escolas","1 escolas","33.922,21 R$","80,2 %","0,724","29.828,84 R$ (×1000)","23.723,32 R$ (×1000)","28,57 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","5 estabelecimentos","292,160 km²","46,6 %","64,5 %","26,5 %","Mata Atlântica","Não pertence","Centro Local (5)","Passo Fundo - Capital Regional B (2B)","Passo Fundo","Lagoa Vermelha","Noroeste Rio-grandense","Passo Fundo"
"4320305","RS","Selbach","https://cidades.ibge.gov.br/brasil/rs/selbach/panorama","5.114 pessoas","4.929 pessoas","27,75 hab/km²","2,4 salários mínimos","1.270 pessoas","24,9 %","22,8 %","99,7 %","6,2","5,5","483 matrículas","77 matrículas","41 docentes","16 docentes","4 escolas","1 escolas","47.164,56 R$","75,4 %","0,777","26.094,67 R$ (×1000)","20.502,42 R$ (×1000)","- óbitos por mil nascidos vivos","4,7 internações por mil habitantes","4 estabelecimentos","176,471 km²","30,5 %","89,6 %","21,7 %","Mata Atlântica","Não pertence","Centro Local (5)","Passo Fundo - Capital Regional B (2B)","Passo Fundo","Cruz Alta","Noroeste Rio-grandense","Não-Me-Toque"
"4305801","RS","Constantina","https://cidades.ibge.gov.br/brasil/rs/constantina/panorama","9.903 pessoas","9.752 pessoas","48,04 hab/km²","1,9 salários mínimos","2.615 pessoas","26,4 %","33,4 %","96,1 %","6,7","4,7","1.058 matrículas","266 matrículas","91 docentes","33 docentes","10 escolas","1 escolas","30.642,99 R$","77 %","0,754","34.866,85 R$ (×1000)","31.729,67 R$ (×1000)","12,99 óbitos por mil nascidos vivos","2,8 internações por mil habitantes","6 estabelecimentos","203,614 km²","39,9 %","96,3 %","45,6 %","Mata Atlântica","Não pertence","Centro de Zona B (4B)","Sarandi - Centro Subregional B (3B)","Passo Fundo","Carazinho","Noroeste Rio-grandense","Frederico Westphalen"
"4304606","RS","Canoas","https://cidades.ibge.gov.br/brasil/rs/canoas/panorama","349.728 pessoas","323.827 pessoas","2.470,15 hab/km²","3,0 salários mínimos","95.703 pessoas","27,6 %","29,4 %","95,9 %","5,3","4,2","45.338 matrículas","11.464 matrículas","1.905 docentes","687 docentes","94 escolas","30 escolas","55.594,20 R$","69,7 %","0,750","1.696.189,31 R$ (×1000)","1.511.073,04 R$ (×1000)","9,94 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","42 estabelecimentos","130,789 km²","92,9 %","81,9 %","59,6 %","Pampa","Não pertence","Metrópole (1C) - Município integrante do Arranjo Populacional de Porto Alegre/RS","Arranjo Populacional de Porto Alegre/RS - Metrópole (1C)","Porto Alegre","Porto Alegre","Metropolitana de Porto Alegre","Porto Alegre"
"4313904","RS","Panambi","https://cidades.ibge.gov.br/brasil/rs/panambi/panorama","44.583 pessoas","38.058 pessoas","77,53 hab/km²","3,0 salários mínimos","15.173 pessoas","34,7 %","26,9 %","99,1 %","6,4","5,3","4.891 matrículas","1.501 matrículas","310 docentes","152 docentes","20 escolas","6 escolas","49.260,55 R$","66,8 %","0,761","160.725,23 R$ (×1000)","123.331,17 R$ (×1000)","14,06 óbitos por mil nascidos vivos","1 internações por mil habitantes","25 estabelecimentos","491,570 km²","59,6 %","85,7 %","47 %","Mata Atlântica;Pampa","Não pertence","Centro de Zona A (4A)","Ijuí - Centro Subregional A (3A)","Ijuí","Ijuí","Noroeste Rio-grandense","Ijuí"
"4320206","RS","Seberi","https://cidades.ibge.gov.br/brasil/rs/seberi/panorama","10.678 pessoas","10.897 pessoas","36,15 hab/km²","1,8 salários mínimos","3.295 pessoas","30,7 %","35,1 %","98,1 %","6,2","5,1","1.339 matrículas","275 matrículas","90 docentes","36 docentes","7 escolas","1 escolas","33.163,84 R$","79,9 %","0,723","38.883,95 R$ (×1000)","35.658,58 R$ (×1000)","32,61 óbitos por mil nascidos vivos","3 internações por mil habitantes","5 estabelecimentos","300,827 km²","16 %","86,6 %","22,8 %","Mata Atlântica;Pampa","Não pertence","Centro Local (5)","Frederico Westphalen - Centro Subregional B (3B)","Passo Fundo","Frederico Westphalen","Noroeste Rio-grandense","Frederico Westphalen"
"4322004","RS","Triunfo","https://cidades.ibge.gov.br/brasil/rs/triunfo/panorama","30.159 pessoas","25.793 pessoas","31,50 hab/km²","4,8 salários mínimos","10.889 pessoas","36,9 %","31,1 %","98,3 %","5,5","4,5","3.565 matrículas","1.068 matrículas","281 docentes","84 docentes","22 escolas","5 escolas","304.208,49 R$","62,9 %","0,733","295.042,40 R$ (×1000)","227.491,58 R$ (×1000)","- óbitos por mil nascidos vivos","1,7 internações por mil habitantes","17 estabelecimentos","817,625 km²","57,8 %","71,5 %","25 %","Mata Atlântica;Pampa","Não pertence","Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Charqueadas - Triunfo - São Jerônimo/RS","Arranjo Populacional de Porto Alegre/RS - Metrópole (1C)","Porto Alegre","Charqueadas - Triunfo - São Jerônimo","Metropolitana de Porto Alegre","São Jerônimo"
"4303103","RS","Cachoeirinha","https://cidades.ibge.gov.br/brasil/rs/cachoeirinha/panorama","132.144 pessoas","118.278 pessoas","2.687,04 hab/km²","2,5 salários mínimos","44.948 pessoas","34,5 %","28,5 %","96 %","5,6","4,2","16.145 matrículas","4.823 matrículas","791 docentes","338 docentes","38 escolas","18 escolas","40.778,59 R$","59,1 %","0,757","397.285,39 R$ (×1000)","353.604,79 R$ (×1000)","7,17 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","32 estabelecimentos","43,778 km²","95,3 %","83,7 %","45 %","Pampa","Não pertence","Metrópole (1C) - Município integrante do Arranjo Populacional de Porto Alegre/RS","Arranjo Populacional de Porto Alegre/RS - Metrópole (1C)","Porto Alegre","Porto Alegre","Metropolitana de Porto Alegre","Porto Alegre"
"4322806","RS","Veranópolis","https://cidades.ibge.gov.br/brasil/rs/veranopolis/panorama","26.813 pessoas","22.810 pessoas","78,83 hab/km²","2,5 salários mínimos","9.814 pessoas","37,4 %","19,9 %","99,3 %","7,0","5,0","2.243 matrículas","783 matrículas","175 docentes","87 docentes","12 escolas","5 escolas","59.746,82 R$","71,5 %","0,773","110.813,66 R$ (×1000)","86.664,55 R$ (×1000)","- óbitos por mil nascidos vivos","0,2 internações por mil habitantes","9 estabelecimentos","289,464 km²","92,8 %","84,3 %","47,5 %","Mata Atlântica","Não pertence","Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Veranópolis/RS","Arranjo Populacional de Caxias do Sul/RS - Capital Regional B (2B)","Caxias do Sul","Bento Gonçalves","Nordeste Rio-grandense","Caxias do Sul"
"4218806","SC","Turvo","https://cidades.ibge.gov.br/brasil/sc/turvo/panorama","13.080 pessoas","11.854 pessoas","50,33 hab/km²","2,2 salários mínimos","4.993 pessoas","38,7 %","29,7 %","98,5 %","6,2","4,9","1.272 matrículas","396 matrículas","88 docentes","40 docentes","8 escolas","1 escolas","42.026,53 R$","83,7 %","0,740","43.294,02 R$ (×1000)","38.027,56 R$ (×1000)","28,74 óbitos por mil nascidos vivos","1,4 internações por mil habitantes","10 estabelecimentos","235,104 km²","90,3 %","36,1 %","32,7 %","Mata Atlântica","Não pertence","Centro de Zona B (4B)","Arranjo Populacional de Araranguá/SC - Centro Subregional A (3A)","Criciúma","Araranguá","Sul Catarinense","Araranguá"
"4314308","RS","Pejuçara","https://cidades.ibge.gov.br/brasil/rs/pejucara/panorama","3.840 pessoas","3.973 pessoas","9,59 hab/km²","2,5 salários mínimos","665 pessoas","17,2 %","32,1 %","100 %","6,6","4,7","392 matrículas","91 matrículas","37 docentes","18 docentes","2 escolas","1 escolas","68.905,46 R$","77,7 %","0,741","27.297,67 R$ (×1000)","22.616,01 R$ (×1000)","- óbitos por mil nascidos vivos","4 internações por mil habitantes","4 estabelecimentos","414,106 km²","8 %","98,2 %","2,9 %","Mata Atlântica;Pampa","Não pertence","Centro Local (5)","Ijuí - Centro Subregional A (3A)","Ijuí","Ijuí","Noroeste Rio-grandense","Ijuí"
"4218004","SC","Tijucas","https://cidades.ibge.gov.br/brasil/sc/tijucas/panorama","39.889 pessoas","30.960 pessoas","110,74 hab/km²","2,5 salários mínimos","15.723 pessoas","40,9 %","25,5 %","96,5 %","5,9","4,5","5.899 matrículas","1.499 matrículas","324 docentes","125 docentes","20 escolas","7 escolas","40.901,83 R$","66,9 %","0,760","132.110,39 R$ (×1000)","105.594,96 R$ (×1000)","14,33 óbitos por mil nascidos vivos","0,3 internações por mil habitantes","13 estabelecimentos","279,159 km²","86,9 %","53,2 %","34 %","Mata Atlântica","Pertence","Centro de Zona A (4A)","Arranjo Populacional de Florianópolis/SC - Metrópole (1C)","Blumenau","Itajaí","Grande Florianópolis","Tijucas"
"4322707","RS","Vera Cruz","https://cidades.ibge.gov.br/brasil/rs/vera-cruz/panorama","27.325 pessoas","23.983 pessoas","77,46 hab/km²","2,2 salários mínimos","5.521 pessoas","20,6 %","25,3 %","99 %","6,5","4,6","2.775 matrículas","672 matrículas","195 docentes","56 docentes","20 escolas","3 escolas","24.467,49 R$","65,6 %","0,737","91.512,44 R$ (×1000)","71.010,90 R$ (×1000)","7,38 óbitos por mil nascidos vivos","1,9 internações por mil habitantes","14 estabelecimentos","309,621 km²","74,2 %","88,9 %","48,9 %","Mata Atlântica","Não pertence","Capital Regional C (2C) - Município integrante do Arranjo Populacional de Santa Cruz do Sul/RS","Arranjo Populacional de Porto Alegre/RS - Metrópole (1C)","Santa Cruz do Sul - Lajeado","Santa Cruz do Sul","Centro Oriental Rio-grandense","Santa Cruz do Sul"
"4207304","SC","Imbituba","https://cidades.ibge.gov.br/brasil/sc/imbituba/panorama","45.711 pessoas","40.170 pessoas","219,59 hab/km²","2,2 salários mínimos","12.569 pessoas","28,0 %","31,3 %","99,1 %","5,8","4,7","5.939 matrículas","1.510 matrículas","354 docentes","164 docentes","24 escolas","9 escolas","39.926,04 R$","52,4 %","0,765","136.373,94 R$ (×1000)","119.366,92 R$ (×1000)","3,13 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","38 estabelecimentos","181,577 km²","61 %","59,7 %","21,2 %","Mata Atlântica","Pertence","Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Imbituba/SC","Arranjo Populacional de Florianópolis/SC - Metrópole (1C)","Florianópolis","Florianópolis","Sul Catarinense","Tubarão"
"4305405","RS","Chiapetta","https://cidades.ibge.gov.br/brasil/rs/chiapetta/panorama","3.684 pessoas","4.044 pessoas","10,20 hab/km²","2,0 salários mínimos","743 pessoas","19,8 %","32,2 %","97,5 %","6,3","4,7","450 matrículas","98 matrículas","40 docentes","16 docentes","4 escolas","1 escolas","56.408,67 R$","93,6 %","0,732","20.474,64 R$ (×1000)","17.318,54 R$ (×1000)","23,81 óbitos por mil nascidos vivos","0,2 internações por mil habitantes","5 estabelecimentos","397,179 km²","13,2 %","99,4 %","11,4 %","Mata Atlântica;Pampa","Não pertence","Centro de Zona B (4B)","Ijuí - Centro Subregional A (3A)","Ijuí","Ijuí","Noroeste Rio-grandense","Ijuí"
"4219507","SC","Xanxerê","https://cidades.ibge.gov.br/brasil/sc/xanxere/panorama","52.290 pessoas","44.128 pessoas","116,81 hab/km²","2,3 salários mínimos","16.566 pessoas","32,5 %","27,9 %","98,6 %","6,5","4,8","5.851 matrículas","2.082 matrículas","337 docentes","168 docentes","24 escolas","8 escolas","33.864,92 R$","69,1 %","0,775","123.285,86 R$ (×1000)","113.122,01 R$ (×1000)","4,39 óbitos por mil nascidos vivos","0,4 internações por mil habitantes","14 estabelecimentos","377,426 km²","56,4 %","63,4 %","28,3 %","Mata Atlântica","Não pertence","Centro Subregional B (3B)","Arranjo Populacional de Chapecó/SC - Capital Regional B (2B)","Chapecó","Xanxerê","Oeste Catarinense","Xanxerê"
"4308003","RS","Faxinal do Soturno","https://cidades.ibge.gov.br/brasil/rs/faxinal-do-soturno/panorama","6.651 pessoas","6.672 pessoas","39,27 hab/km²","2,1 salários mínimos","1.853 pessoas","27,8 %","30,1 %","99,1 %","6,6","-","639 matrículas","137 matrículas","53 docentes","16 docentes","6 escolas","1 escolas","30.334,78 R$","76,3 %","0,720","28.791,68 R$ (×1000)","21.258,78 R$ (×1000)","27,78 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","4 estabelecimentos","169,514 km²","69,2 %","97,2 %","42,6 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Santa Maria/RS - Capital Regional C (2C)","Santa Maria","Santa Maria","Centro Ocidental Rio-grandense","Restinga Seca"
"4214805","SC","Rio do Sul","https://cidades.ibge.gov.br/brasil/sc/rio-do-sul/panorama","72.931 pessoas","61.198 pessoas","235,05 hab/km²","2,6 salários mínimos","29.622 pessoas","41,7 %","21 %","96,5 %","5,9","4,4","8.534 matrículas","2.797 matrículas","533 docentes","293 docentes","27 escolas","13 escolas","38.796,66 R$","66,3 %","0,802","290.917,29 R$ (×1000)","245.030,24 R$ (×1000)","3,22 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","42 estabelecimentos","260,817 km²","83,5 %","32,7 %","46,8 %","Mata Atlântica","Não pertence","Centro Subregional A (3A) - Município integrante do Arranjo Populacional de Rio do Sul/SC","Arranjo Populacional de Blumenau/SC - Capital Regional B (2B)","Blumenau","Rio do Sul","Vale do Itajaí","Rio do Sul"
"4303004","RS","Cachoeira do Sul","https://cidades.ibge.gov.br/brasil/rs/cachoeira-do-sul/panorama"," pessoas"," pessoas"," hab/km²"," salários mínimos"," pessoas"," %"," %"," %","",""," matrículas"," matrículas"," docentes"," docentes"," escolas"," escolas"," R$"," %",""," R$ (×1000)"," R$ (×1000)"," óbitos por mil nascidos vivos"," internações por mil habitantes"," estabelecimentos"," km²"," %"," %"," %","","","","","","","",""
"4202404","SC","Blumenau","https://cidades.ibge.gov.br/brasil/sc/blumenau/panorama","366.418 pessoas","309.011 pessoas","595,97 hab/km²","2,8 salários mínimos","159.821 pessoas","44,7 %","20,6 %","97 %","6,2","4,9","39.436 matrículas","11.466 matrículas","1.931 docentes","682 docentes","84 escolas","30 escolas","48.115,48 R$","51,7 %","0,806","1.501.588,80 R$ (×1000)","1.394.618,12 R$ (×1000)","12,02 óbitos por mil nascidos vivos","0,5 internações por mil habitantes","128 estabelecimentos","518,619 km²","91,6 %","37,7 %","62,6 %","Mata Atlântica","Não pertence","Capital Regional B (2B) - Município integrante do Arranjo Populacional de Blumenau/SC","Arranjo Populacional de Florianópolis/SC - Metrópole (1C)","Blumenau","Blumenau","Vale do Itajaí","Blumenau"
"4216909","SC","São Lourenço do Oeste","https://cidades.ibge.gov.br/brasil/sc/sao-lourenco-do-oeste/panorama","24.501 pessoas","21.792 pessoas","60,45 hab/km²","2,4 salários mínimos","11.544 pessoas","47,9 %","25,9 %","99 %","7,0","5,2","2.869 matrículas","783 matrículas","141 docentes","39 docentes","10 escolas","2 escolas","40.274,72 R$","80,1 %","0,749","75.054,92 R$ (×1000)","65.088,35 R$ (×1000)","11,3 óbitos por mil nascidos vivos","4 internações por mil habitantes","14 estabelecimentos","356,193 km²","37,4 %","73,5 %","30,1 %","Mata Atlântica","Não pertence","Centro de Zona A (4A)","Arranjo Populacional de Pato Branco/PR - Centro Subregional A (3A)\; Arranjo Populacional de Chapecó/SC - Capital Regional B (2B)","Chapecó","São Lourenço do Oeste","Oeste Catarinense","Chapecó"
"4207809","SC","Irani","https://cidades.ibge.gov.br/brasil/sc/irani/panorama","10.575 pessoas","9.531 pessoas","29,26 hab/km²","2,2 salários mínimos","1.862 pessoas","17,9 %","30,1 %","98,2 %","6,1","5,0","1.169 matrículas","337 matrículas","70 docentes","31 docentes","5 escolas","2 escolas","23.059,27 R$","88,4 %","0,742","34.299,93 R$ (×1000)","29.572,67 R$ (×1000)","6,49 óbitos por mil nascidos vivos","2 internações por mil habitantes","5 estabelecimentos","325,862 km²","47,4 %","15,6 %","7,9 %","Mata Atlântica","Não pertence","Centro Local (5)","Concórdia - Centro Subregional B (3B)","Chapecó","Concórdia","Oeste Catarinense","Concórdia"
"4203808","SC","Canoinhas","https://cidades.ibge.gov.br/brasil/sc/canoinhas/panorama","54.558 pessoas","52.765 pessoas","46,27 hab/km²","2,2 salários mínimos","13.654 pessoas","25,1 %","33,4 %","98,8 %","6,8","5,4","7.121 matrículas","2.786 matrículas","383 docentes","244 docentes","31 escolas","10 escolas","31.334,28 R$","75,3 %","0,757","159.433,30 R$ (×1000)","136.538,27 R$ (×1000)","11,06 óbitos por mil nascidos vivos","0,9 internações por mil habitantes","24 estabelecimentos","1.148,036 km²","61,5 %","88,2 %","12 %","Mata Atlântica","Não pertence","Centro Subregional B (3B) - Município integrante do Arranjo Populacional de Canoinhas/SC","Arranjo Populacional de Curitiba/PR - Metrópole (1C)\; Arranjo Populacional de Florianópolis/SC - Metrópole (1C)","Joinville","Mafra","Norte Catarinense","Canoinhas"
"4321006","RS","Tapera","https://cidades.ibge.gov.br/brasil/rs/tapera/panorama","10.569 pessoas","10.448 pessoas","58,15 hab/km²","2,3 salários mínimos","2.788 pessoas","26,3 %","26 %","99 %","7,5","5,2","1.163 matrículas","278 matrículas","107 docentes","48 docentes","11 escolas","3 escolas","42.813,31 R$","72,5 %","0,747","40.152,87 R$ (×1000)","33.062,25 R$ (×1000)","17,7 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","6 estabelecimentos","179,935 km²","46,8 %","98 %","31,5 %","Mata Atlântica","Não pertence","Centro Local (5)","Passo Fundo - Capital Regional B (2B)","Passo Fundo","Passo Fundo","Noroeste Rio-grandense","Não-Me-Toque"
"4210308","SC","Major Vieira","https://cidades.ibge.gov.br/brasil/sc/major-vieira/panorama","8.209 pessoas","7.479 pessoas","14,23 hab/km²","2,2 salários mínimos","989 pessoas","12,2 %","38,6 %","97,8 %","6,4","5,0","925 matrículas","288 matrículas","71 docentes","37 docentes","4 escolas","1 escolas","26.205,89 R$","85,3 %","0,690","25.682,93 R$ (×1000)","22.864,00 R$ (×1000)","9,9 óbitos por mil nascidos vivos","4 internações por mil habitantes","11 estabelecimentos","520,816 km²","36,7 %","20 %","12,5 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Canoinhas/SC - Centro Subregional B (3B)","Joinville","Mafra","Norte Catarinense","Canoinhas"
"4211900","SC","Palhoça","https://cidades.ibge.gov.br/brasil/sc/palhoca/panorama","178.679 pessoas","137.334 pessoas","347,56 hab/km²","2,3 salários mínimos","51.846 pessoas","30,2 %","25,8 %","97,6 %","5,5","4,3","25.502 matrículas","6.393 matrículas","1.145 docentes","513 docentes","61 escolas","20 escolas","32.626,34 R$","48 %","0,757","502.990,73 R$ (×1000)","418.845,22 R$ (×1000)","10,78 óbitos por mil nascidos vivos","0,1 internações por mil habitantes","18 estabelecimentos","394,850 km²","83,2 %","11,3 %","45,2 %","Mata Atlântica","Pertence","Metrópole (1C) - Município integrante do Arranjo Populacional de Florianópolis/SC","Arranjo Populacional de Florianópolis/SC - Metrópole (1C)","Florianópolis","Florianópolis","Grande Florianópolis","Florianópolis"
"4210209","SC","Major Gercino","https://cidades.ibge.gov.br/brasil/sc/major-gercino/panorama","3.465 pessoas","3.279 pessoas","11,48 hab/km²","1,8 salários mínimos","612 pessoas","17,8 %","28,1 %","98 %","6,3","4,9","406 matrículas","105 matrículas","38 docentes","21 docentes","6 escolas","2 escolas","14.383,12 R$","90,7 %","0,698","16.005,98 R$ (×1000)","13.167,17 R$ (×1000)","33,33 óbitos por mil nascidos vivos","0,6 internações por mil habitantes","7 estabelecimentos","306,058 km²","54,3 %","8,5 %","13,6 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Florianópolis/SC - Metrópole (1C)","Blumenau","Brusque","Grande Florianópolis","Tijucas"
"4214102","SC","Presidente Nereu","https://cidades.ibge.gov.br/brasil/sc/presidente-nereu/panorama","2.279 pessoas","2.284 pessoas","10,12 hab/km²","1,8 salários mínimos","390 pessoas","17,1 %","26,6 %","99,4 %","6,7","4,8","251 matrículas","73 matrículas","19 docentes","13 docentes","2 escolas","1 escolas","23.049,94 R$","89,3 %","0,737","13.782,12 R$ (×1000)","11.969,08 R$ (×1000)","- óbitos por mil nascidos vivos","0,4 internações por mil habitantes","1 estabelecimentos","224,748 km²","57,6 %","31,7 %","14,3 %","Mata Atlântica","Não pertence","Centro Local (5)","Arranjo Populacional de Rio do Sul/SC - Centro Subregional A (3A)","Blumenau","Rio do Sul","Vale do Itajaí","Rio do Sul"
